portfolio,Method,Expected Loss,VaR 99.9%,VaR 99%,ES 99.9%,ES 99%,rho
portfolio_1,Default Indicator Simulation,2451773.914512228,47791221.690236695,26376226.360297177,55629267.82937477,36299494.30322784,0.4455261812424759
portfolio_1,Analytical Conditional Expected Loss,2481650.513431003,27957710.252545,16403270.410550347,35427232.31488756,22050483.55810511,0.4455261812424759
portfolio_2,Default Indicator Simulation,11658116.538816461,197609923.92408565,117289193.5650137,212165273.54518822,149389221.94248325,0.5907614127506081
portfolio_2,Analytical Conditional Expected Loss,11590550.899778897,156209144.16662383,96748246.22170603,189333374.7780609,125928386.46557343,0.5907614127506081
