,Expected Loss (EL),VaR (95%),VaR (99%),Expected Shortfall (ES 99%)
Portfolio_1 (Model 1: Single-Factor),10013092.408131009,40253692.95293506,68460532.27907777,83732582.22921196
Portfolio_1 (Model 2: Multi-Factor),9809252.025873646,39503035.97308348,64317197.37476003,79819665.66308407
Portfolio_2 (Model 1: Single-Factor),11987648.123018155,48540988.62080056,78465036.30119084,100132318.9632939
Portfolio_2 (Model 2: Multi-Factor),11565663.191951115,42915617.37438586,67806801.13228093,82373010.19073543
